sheet,cell,formula,cached_value
T1,E3,"=IF(C19=""Boulons et platines"",""Boulons et platines"",0)",0
T1,F3,"=IF(E3=""Boulons et Platines"",""Nbre de Trous"",0)",0
T1,G3,"=IF(E3=""Boulons et Platines"",""Dim du Bord"",0)",0
T1,E4,"=IF(C19=""Vis bois"",0,""Trous dans la Longueur"")",0
T1,F4,"=IF(E4=0,0,IF(C58<100,2,IF(C58<150,3,IF(C58<200,4,IF(C58<250,5,IF(C58<300,6,7))))))",0
T1,G4,"=IF(F4=0,0,IF(F4=3,0,(($C$58-32)/(F4-1))+16))",0
T1,E5,"=IF(F4=6,""2ème Trou"",IF(F4=7,""2ème Trou"",0))",0
T1,G5,"=IF(E5=0,0,G4+G4-16)",0
T1,E6,"=IF(C19=""Vis bois"",0,""Trous dans la Hauteur"")",0
T1,F6,"=IF(E6=0,0,IF(D58<100,2,IF(D58<150,3,IF(D58<200,4,IF(D58<250,5,IF(D58<310,6,7))))))",0
T1,G6,"=IF(F6=0,0,IF(F6=3,0,(($D$58-32)/(F6-1))+16))",0
T1,E7,"=IF(F6=6,""2ème Trou"",IF(F6=7,""2ème Trou"",0))",0
T1,G7,"=IF(E7=0,0,G6+G6-16)",0
T1,E20,"=IF(F19=""Oui"",""Type de Peinture"",0)",0
T1,F20,"=IF(F19=""Non"",0,VLOOKUP(F10,'Infos Clients'!B2:E10,4))",0
T1,B26,"=IF(F23=""Aucun"","" "",F23)", 
T1,D26,"=IF(F21=""Oui"",""+"",0)",0
T1,E26,"=IF(F21=""Oui"",""Mousse Garnie Tyvek"",0)",0
T1,B28,"=IF(B34=""Aucun"",""Dimensions intérieures utiles"",""Dimensions de l'œuvre"")",Dimensions de l'œuvre
T1,C38,"=+IF(C29=0,0,IF(C29>70,12,6))",12
T1,F38,"=IF(C29>300,6,IF(C29>250,5,IF(C29>200,4,IF(C29>150,3,IF(C29>120,3,2)))))",2
T1,C44,"=C29+VLOOKUP(C17,B142:Q148,2)+VLOOKUP(B34,B169:M177,2)",110.2
T1,D44,"=D29+VLOOKUP($B$34,B169:M177,3)+VLOOKUP($C$17,B142:Q148,3)",16
T1,E44,"=E29+VLOOKUP($B$34,B169:M177,4)+VLOOKUP($C$17,B142:Q148,4)",110.2
T1,C46,"=C44+VLOOKUP(C21,B153:C156,2)+VLOOKUP(C13,B132:F134,5)*2+VLOOKUP(C15,B136:E137,4)*2",121.60000000000001
T1,D46,"=IF(OR($F$23=""Aucun"",$F$23=""Stabilisateur""),$D$44+VLOOKUP($C$13,$B$132:$F$134,4)*2+VLOOKUP($C$15,$B$136:$E$137,4)*2+0.5,$E$44+VLOOKUP($C$13,$B$132:$F$134,5)*2+VLOOKUP($C$15,$B$136:$E$137,4)*2)",23.7
T1,E46,"=IF(OR($F$23=""Aucun"",$F$23=""Stabilisateur""),$E$44+VLOOKUP($C$13,$B$132:$F$134,5)*2+VLOOKUP($C$15,$B$136:$E$137,4)*2+VLOOKUP($C$23,$B$185:$C$187,2),$D$44+VLOOKUP($C$13,$B$132:$F$134,4)*2+VLOOKUP($C$15,$B$136:$E$137,4)*2+VLOOKUP($C$23,$B$185:$C$187,2)+VLOOKUP($F$23,$B$158:$E$161,4)+0.5)",120.4
T1,F46,"=ROUNDUP(C129,0)",386
T1,C48,=Q121,40.93123020000001
T1,C49,=D123,120.02948740480004
T1,E49,=R121,29.294938269600003
T1,C58,"=IF(C44=0,0,C44+2*(VLOOKUP(E59,B132:E134,4)+VLOOKUP(C15,B136:E137,4)))",117.4
T1,D58,"=IF(E44=0,0,E44+2*(VLOOKUP(E60,B132:E134,4)+VLOOKUP(C15,B136:E137,4)))",117.4
T1,E58,"=VLOOKUP($C$13,$B$132:$E$134,2)",Peuplier 15 mm
T1,J58,"=IF(C58=0,0,(C58/100)*(D58/100)*F58)",2.7565520000000006
T1,K58,=J58/0.8,3.4456900000000004
T1,L58,"=IF(E58=0,0,VLOOKUP(E58,'Prix Matiere'!$A$4:$J$65,10))",16.895876288659796
T1,M58,"=L58*K58-IF($F$15=""Non"",K58*0.75,0)",58.21795196907218
T1,N58,"=IF(J58=0,0,IF($F$15=""Oui"",(7.0924*J58)+15,(6.0924*J58)+10))",34.5505694048
T1,O58,=N58*MinuteMO,29.36798399408
T1,Q58,"=IF(J58=0,0,J58*VLOOKUP(E58,'Prix Matiere'!$A$4:$L$60,12))",18.193243200000005
T1,R58,"=IF(J58=0,0,Q58*VLOOKUP(E58,'Prix Matiere'!$A$4:$L$60,11))",14.063376993600004
